G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
30,30,33.3,6.8,14.7,0.46,1.6,4.5,0.346,5.2,10.2,0.511,0.514,2.5,3.6,0.692,2.1,5.1,7.2,1.3,1,1.3,2,2.8,17.6,Airious Bailey
133,61,22.1,3.2,7.1,0.456,1.1,2.8,0.373,2.2,4.2,0.512,0.531,1.7,1.8,0.924,0.5,1.6,2.1,1,0.7,0.1,1.1,1.6,9.2,Tamar Bates
149,37,24.9,3.1,6.8,0.45,2.1,4.9,0.434,0.9,1.9,0.491,0.606,0.5,0.6,0.802,0.3,2.9,3.1,1.1,0.4,0.2,0.7,1,8.8,Koby Brea
168,163,27.2,6.5,12.1,0.539,0.4,1.2,0.302,6.1,10.8,0.566,0.555,2.7,4.5,0.603,3.1,6.4,9.5,1.7,0.8,2.5,1.8,2.4,16.1,Johni Broome
37,5,19.3,2.2,4.8,0.46,1.1,2.8,0.371,1.1,1.9,0.592,0.571,1.1,1.6,0.695,0.9,3.2,4.1,1,0.9,1,1,2.3,6.5,Carter Bryant
68,30,20.9,2.5,6.5,0.385,1.1,3.8,0.304,1.4,2.8,0.497,0.473,1.5,1.8,0.829,0.6,2.7,3.2,1.8,1.4,0.8,1.2,1.6,7.7,Miles Byrd
154,122,25.6,3.7,7.9,0.469,1,2.7,0.364,2.7,5.1,0.525,0.532,1.7,2.4,0.724,1,4.9,5.9,2.4,0.9,0.6,1.7,2.1,10.1,Nique Clifford
73,36,22.7,3.2,6.6,0.479,0.4,1.3,0.313,2.8,5.3,0.521,0.51,2.4,3.8,0.631,2.4,4.6,7,1.7,0.6,1.3,1.4,2.4,9.2,Alex Condon
72,40,26.5,4.3,7.3,0.595,1.1,2.7,0.388,3.3,4.6,0.72,0.668,2.1,2.5,0.832,1.6,4.6,6.2,1.9,0.9,0.8,1.6,2.1,11.8,Cedric Coward
33,33,27.5,3.8,9.3,0.412,1.3,4.7,0.273,2.5,4.6,0.553,0.48,1.7,2.5,0.695,0.3,3.6,3.9,5.5,1.2,0.4,2.9,1.2,10.6,Egor Demin
162,141,27.5,5,10.5,0.471,1.4,3.5,0.387,3.6,7,0.513,0.536,3,3.7,0.813,2.1,3.5,5.6,1.4,0.7,0.4,1.5,1.9,14.3,Eric Dixon
33,33,32.7,5,11.5,0.436,1.6,4.6,0.34,3.5,6.9,0.5,0.504,3.4,4.3,0.782,2,3.6,5.6,3.2,2.1,0.6,1.9,2.5,15,Vj Edgecombe
34,31,30.2,5.3,12.2,0.434,1.1,3.9,0.284,4.2,8.3,0.505,0.48,5.4,6.3,0.851,0.7,3.4,4.1,4.1,1.6,0.1,3.4,1.9,17.1,Jeremiah Fears
37,37,30.7,6.5,13.4,0.481,1.4,3.6,0.385,5.1,9.8,0.517,0.533,4.8,5.8,0.84,1.3,6.2,7.5,4.2,1.4,1.4,2.1,1.9,19.2,Cooper Flagg
21,18,31.8,4.6,12,0.379,1.7,5,0.34,2.9,7,0.408,0.451,2.6,3.1,0.833,0.5,2.8,3.2,5.1,1.5,0,1.4,1.8,13.5,Boogie Fland
101,88,26.4,3.9,7.6,0.51,1.2,3.3,0.349,2.7,4.3,0.635,0.586,1.6,2.4,0.68,2.2,4.9,7.1,0.9,1,1.3,1.2,2.5,10.6,Rasheer Fleming
154,143,21.6,4.5,7.2,0.616,0.1,0.2,0.333,4.4,7,0.625,0.621,2.7,4,0.668,2.2,3.8,6,0.6,0.4,1.3,1.5,2.2,11.7,Vladislav Goldin
72,66,33.1,6.3,13,0.484,0.8,2.6,0.332,5.4,10.4,0.521,0.517,6.5,8.2,0.791,1,4.3,5.3,3.5,1.8,0.1,2.8,1.9,19.9,Pj Haggerty
29,28,32.6,6.7,13.8,0.484,1.7,5.2,0.333,5,8.7,0.574,0.546,4.3,5.8,0.75,0.8,3.8,4.6,4,1.4,0.6,2.4,1.9,19.4,Dylan Harper
33,33,31.8,4.5,10.3,0.44,1.6,5.2,0.318,2.9,5.1,0.562,0.519,4.3,5.1,0.845,1.4,4.3,5.7,4.7,0.9,0.3,3.7,2.7,15,Kasparas Jakucionis
153,139,32,3.1,6.5,0.481,0.8,2.3,0.358,2.3,4.2,0.548,0.544,2.2,3.1,0.715,0.7,3.8,4.5,3,1.4,0.5,1.4,2.4,9.3,Sion James
55,26,18.2,2.3,5.1,0.45,0,0,0,2.3,5.1,0.452,0.45,1.1,1.7,0.63,1.6,2.4,4,0.5,0.6,0.9,1.3,2.3,5.7,Tre Johnson
137,113,28.1,5.7,12,0.475,2.3,6.3,0.366,3.4,5.8,0.593,0.57,1.2,1.8,0.671,0.4,2.7,3.1,2.9,1.2,0.1,1.3,1.8,14.9,Kam Jones
169,138,29.3,5.8,8.8,0.658,0.3,0.9,0.311,5.6,8,0.696,0.674,2.5,3.6,0.709,2.6,4.2,6.8,1.1,0.4,2.4,1.3,1.6,14.5,Ryan Kalkbrenner
36,24,24,2.7,5.8,0.462,1,2.8,0.35,1.7,3,0.565,0.546,2,2.5,0.802,0.7,2.6,3.3,1,0.6,0.5,1.1,1.9,8.3,Karter Knox
39,39,30.5,4.6,9.7,0.479,2.2,5.3,0.406,2.5,4.4,0.567,0.59,3,3.3,0.914,1,3,4,2.7,1,0.2,1.4,2.1,14.4,Kon Knueppel
142,87,25.5,4,8.6,0.458,1.9,4.8,0.402,2,3.8,0.53,0.571,1.5,1.8,0.824,0.6,2.7,3.3,1.2,0.7,0.2,0.9,1.2,11.4,Chaz Lanier
72,68,31.9,5.5,10.6,0.518,0.5,1.5,0.349,5,9.1,0.546,0.543,4.3,5.5,0.778,3.4,7.5,11,3.2,1.2,1.9,2.1,2.6,15.8,Yaxel Lendeborg
85,52,26,5.1,11.6,0.439,0.8,2.6,0.314,4.3,9,0.475,0.474,3.1,4.1,0.759,1.7,3.9,5.6,1.5,1.3,0.4,2,2.3,14.1,Rj Luis
39,39,21.2,3.5,4.9,0.712,0.1,0.4,0.25,3.4,4.5,0.754,0.723,1.5,2,0.766,2.7,3.8,6.6,0.5,0.2,1.3,0.8,2.1,8.6,Khaman Maluach
162,122,26.5,4.3,9.7,0.442,2,5.4,0.364,2.3,4.3,0.541,0.544,1.9,2.5,0.76,1.3,3.6,4.9,1.6,1.3,0.3,1.4,1.8,12.5,Alijah Martin
27,26,32.1,4.4,11.5,0.381,1.7,5.4,0.317,2.7,6.1,0.436,0.455,4.1,4.7,0.866,0.9,5,6,2.3,0.6,0.2,1.9,2,14.5,Liam Mcneeley
110,81,23.5,3.6,7.7,0.473,0.7,1.9,0.35,3,5.8,0.515,0.518,2.7,3.5,0.762,1.6,3.7,5.3,0.6,0.6,0.8,1.4,2.2,10.6,Jalon Moore
60,51,27,5.3,8.9,0.59,0.2,0.7,0.231,5.1,8.3,0.618,0.598,3.2,4.6,0.695,2.3,4.8,7.1,2.1,1.3,1.2,1.9,2.5,13.8,Collin Murray-boyles
160,127,25.8,4.3,8.6,0.507,0.8,2.7,0.287,3.6,5.9,0.606,0.552,2.5,3.4,0.733,1.7,4.7,6.4,1.4,0.5,1.4,1.8,2.6,11.9,Grant Nelson
134,134,34.9,4.3,9.9,0.432,1.2,3.4,0.347,3.1,6.5,0.478,0.492,1.9,2.5,0.784,0.3,3.2,3.5,6.6,1.2,0.1,2.5,1.8,11.7,Ryan Nembhard
33,33,29,5.8,10.7,0.543,0.8,2.7,0.292,5,8,0.627,0.58,3.1,4.1,0.748,3.3,3.5,6.9,0.9,1,1,1.1,2.4,15.4,Asa Newell
34,33,27.9,4.6,9.6,0.479,0.6,1.9,0.292,4.1,7.7,0.525,0.508,1.6,2.9,0.556,2.5,3.6,6.1,1.4,0.7,0.5,1.9,3.1,11.4,Lachlan Olbrich
96,73,22.8,4,8.3,0.486,0.5,1.4,0.361,3.5,6.9,0.511,0.516,2.7,3.8,0.714,0.9,2.7,3.6,1,1.4,0.4,1.5,2.3,11.3,Otega Oweh
159,108,25.9,3.8,8.4,0.451,0.6,1.9,0.323,3.1,6.4,0.491,0.489,1.3,2.1,0.606,1.6,2.6,4.2,2,1.2,0.4,1.7,2.5,9.5,Micah Peavy
38,1,22.9,3.8,9.1,0.421,1.8,5,0.366,2,4.1,0.487,0.522,2.1,2.6,0.804,0.2,2,2.2,3,0.9,0.2,1.6,2.4,11.6,Tahaad Pettiford
37,29,24.7,3.8,8.5,0.452,1.1,3.4,0.315,2.8,5.1,0.542,0.514,1.9,2.4,0.767,0.9,2.4,3.3,3.8,1.4,0.3,1.7,1.7,10.6,Labaron Philon
37,24,25.6,2.8,5.7,0.483,1,2.6,0.379,1.8,3.1,0.569,0.569,0.9,1.5,0.648,0.7,2.7,3.4,1.1,0.7,0.7,0.7,1.8,7.4,Drake Powell
106,97,29.9,3.8,9,0.421,1.8,5,0.365,1.9,4,0.492,0.523,1.4,1.8,0.768,0.4,2.7,3,3,0.7,0.1,1.3,1.7,10.8,Tyrese Proctor
36,36,30.4,5.8,11.1,0.526,0.2,1,0.2,5.6,10.1,0.558,0.535,4.6,6.1,0.766,2.3,6.6,9,1.9,1.1,1.1,2.4,2.1,16.5,Derik Queen
129,94,24.7,5,9.7,0.515,0.9,2.5,0.347,4.1,7.2,0.574,0.56,1.7,2.3,0.732,2,5.6,7.7,1.3,0.6,0.8,1.9,1.9,12.6,Maxime Raynaud
36,15,25.3,4,8.1,0.493,1.3,3.2,0.412,2.7,4.9,0.545,0.574,2.8,3.4,0.836,0.6,2.7,3.3,1.9,0.8,0.3,0.8,1.5,12.1,Jase Richardson
35,9,25.7,4.4,10.3,0.432,1.3,4.1,0.326,3.1,6.1,0.502,0.497,2.4,3.3,0.724,1.2,2.9,4.1,2.2,0.3,0.3,1.2,1.2,12.6,Will Riley
135,66,25.3,4.1,8.5,0.479,1,3,0.333,3.1,5.6,0.557,0.537,1.9,2.4,0.787,0.6,2.7,3.3,1.8,0.9,0.4,1.4,1.8,11.1,Hunter Sallis
133,103,27.7,3.7,8.7,0.427,1.1,3.3,0.329,2.6,5.4,0.488,0.49,3,3.7,0.794,0.6,2.5,3.1,2.8,0.9,0.3,2,2.5,11.5,Kobe Sanders
170,151,30.9,5.1,11.5,0.445,1.9,5.1,0.375,3.2,6.4,0.501,0.528,4.5,5.3,0.858,1,3,3.9,3.9,1.3,0.1,2.4,1.7,16.7,Mark Sears
162,109,25,3,6.7,0.439,1.5,3.7,0.392,1.5,3,0.497,0.548,2.7,3.3,0.821,0.7,3.2,4,2.8,0.9,0.2,1.6,1.5,10.1,Max Shulga
97,80,30.4,4.4,10.5,0.415,1.9,5.5,0.35,2.5,5.1,0.486,0.506,3.6,4.1,0.871,0.4,3.4,3.9,4.4,1.1,0.2,2.6,1.5,14.2,Javon Small
24,23,31.3,5.5,10.4,0.532,0.3,1.5,0.162,5.3,8.9,0.596,0.544,3.2,4.4,0.724,2.7,5.8,8.5,2.4,1.5,2,2.3,2.2,14.5,Thomas Sorber
72,45,20.4,3,5.8,0.514,0.3,1,0.284,2.7,4.7,0.565,0.54,2.6,3.7,0.711,1.4,3,4.4,1.2,1,0.7,1.1,2,8.8,Adou Thiero
167,87,23,3.3,7.2,0.457,1.3,3.6,0.378,1.9,3.6,0.537,0.551,2.9,3.3,0.858,0.6,2.8,3.4,1,0.5,0.2,1.3,1.5,10.8,John Tonje
104,96,30.7,3.7,8.4,0.436,1.2,3.2,0.378,2.5,5.2,0.472,0.508,0.9,1.3,0.748,0.3,2.8,3.1,3.9,0.9,0.2,1.8,1.9,9.5,Milos Uzan
126,84,25.6,4,9.4,0.427,1.1,3.5,0.325,2.9,5.9,0.489,0.488,3.7,4.9,0.758,1,4,5.1,1.9,1.3,0.6,2.1,2.3,12.9,Jamir Watkins
157,96,26.4,4.1,8.9,0.463,1.4,3.6,0.385,2.8,5.4,0.514,0.54,2.9,3.4,0.84,0.6,3.5,4.2,1.6,0.8,0.4,1.5,1.7,12.5,Brice Williams
100,97,31.1,4.1,9.1,0.449,1.3,3.4,0.379,2.8,5.7,0.49,0.519,2,2.3,0.842,1.6,5.2,6.7,3,1.3,0.4,1.5,2.4,11.4,Darrion Williams
90,68,25.2,4.3,8.9,0.479,0.8,2.4,0.336,3.4,6.4,0.534,0.526,1.7,2.7,0.646,1.8,6.1,7.9,2.5,0.7,1.1,2.3,1.8,11.1,Danny Wolf
67,46,26.6,4.2,9.2,0.461,0.7,1.9,0.37,3.5,7.3,0.485,0.499,2.6,3.7,0.704,2,5.6,7.6,1.3,0.8,0.4,1.4,2.1,11.8,Michael Ajayi
107,85,32,4.6,10.4,0.442,1.4,3.8,0.358,3.2,6.6,0.491,0.508,2.3,2.8,0.822,0.4,4.2,4.6,3.2,1,0.4,1.9,1.8,12.9,Trey Alexander
126,121,32.7,3.5,8.2,0.429,0.7,2.2,0.319,2.8,6,0.469,0.472,1.8,2.3,0.767,0.4,3,3.4,5,1.8,0.5,1.6,1.5,9.5,Reece Beekman
66,65,24.7,3.9,6.3,0.621,0,0,0,3.9,6.3,0.622,0.621,2.3,3.5,0.652,2.1,3.5,5.6,1,0.8,1.7,1.9,3.5,10.1,Adem Bona
94,59,23,2.9,5.4,0.531,0.7,2.1,0.357,2.1,3.3,0.641,0.6,1.3,2,0.628,1.5,4.1,5.5,0.7,0.7,1.4,1.3,2,7.7,Trevon Brazile
130,121,26.4,3.3,6.9,0.472,1.3,3.6,0.37,1.9,3.3,0.583,0.568,1.5,1.9,0.796,2,3,5,0.9,0.9,0.7,0.8,1.8,9.4,Jalen Bridges
33,33,33.2,4.8,11.7,0.412,2,6.1,0.322,2.8,5.6,0.511,0.496,2.2,2.8,0.785,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,13.8,Carlton Carrington
76,64,29.7,4.8,11,0.439,2.5,6.3,0.402,2.3,4.8,0.488,0.553,2.1,3,0.711,0.7,2.7,3.4,1.2,0.7,0.2,1.3,2.3,14.3,Devin Carter
33,26,30.1,3.8,9.4,0.403,2.1,5.4,0.391,1.7,4,0.42,0.516,1.6,2,0.791,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,11.3,Cam Christie
154,122,25.6,3.7,7.9,0.469,1,2.7,0.364,2.7,5.1,0.525,0.532,1.7,2.4,0.724,1,4.9,5.9,2.4,0.9,0.6,1.7,2.1,10.1,Nique Clifford
74,33,17.6,4,6.2,0.645,0,0.1,0.222,4,6.1,0.653,0.647,1.7,3.1,0.558,2.3,4.1,6.4,1,0.5,2.1,0.9,1.9,9.8,Donovan Clingan
65,34,20.6,2.3,4.2,0.544,0.2,0.8,0.235,2.1,3.4,0.616,0.567,0.8,1.5,0.525,1.5,3.6,5,0.5,0.9,1.7,0.6,1.7,5.5,Ryan Dunn
138,108,24.9,6.7,10.8,0.621,0,0,0.5,6.7,10.8,0.621,0.621,4.8,6.8,0.706,3.9,5.7,9.6,1.3,0.2,1.7,1.9,2,18.2,Zach Edey
38,0,6.1,0.5,1,0.526,0,0.2,0.125,0.5,0.8,0.633,0.539,0.3,0.5,0.684,0.4,1.1,1.5,0.1,0.2,0,0.3,0.9,1.4,Justin Edwards
118,78,22.6,3.9,6.2,0.623,0,0,0.2,3.9,6.2,0.626,0.624,2.2,3.6,0.619,2.2,4.2,6.4,0.9,0.8,1.8,1.3,2.6,10,Jesse Edwards
154,137,29,4.3,10.6,0.409,2,5.3,0.384,2.3,5.3,0.435,0.506,2.4,3.2,0.745,0.4,2.8,3.2,2.3,1.2,0.2,1.7,2.1,13,Boogie Ellis
72,72,29.8,5.7,12,0.473,1,3.3,0.314,4.7,8.7,0.533,0.516,3.4,4.7,0.718,2.4,6.3,8.6,2.2,1.2,1.1,2.3,2.8,15.8,Kyle Filipowski
132,122,27.8,5.3,8.5,0.628,0.2,0.5,0.35,5.2,8.1,0.644,0.637,3.1,4.6,0.67,3.1,7.6,10.6,1.3,0.6,1.4,1.9,2.5,14,Enrique Freeman
33,19,24.1,2.9,6.2,0.466,1.3,3.8,0.352,1.6,2.5,0.642,0.573,1.9,2.5,0.765,1.3,3.6,4.9,1,0.9,0.3,0.8,2.1,9,Johnny Furphy
31,16,23,2.6,6.1,0.426,1.7,4.2,0.408,0.9,1.9,0.467,0.566,0.7,0.9,0.778,0.5,2.6,3,2.2,0.9,0.4,1.5,1.8,7.6,Kyshawn George
83,52,24.7,4.3,10.2,0.426,0.9,3.3,0.28,3.4,6.9,0.496,0.471,4.2,5.9,0.714,1,3.9,5,1.4,1.3,1.2,2,1.8,13.8,Tyon Grant-foster
120,92,24.1,5.3,10.6,0.503,0.9,2.8,0.326,4.4,7.8,0.567,0.546,2.6,3.3,0.78,1.5,3.8,5.3,1.1,0.6,1.1,1.6,2.4,14.2,Pj Hall
156,112,25.5,3,6.9,0.431,1,3.1,0.315,2,3.8,0.526,0.502,1.4,2.1,0.669,1.4,3.6,5.1,2.5,1.1,0.9,1.8,2,8.3,Coleman Hawkins
109,72,26.7,4.2,6.7,0.624,0,0,0,4.2,6.7,0.626,0.624,1.5,2.4,0.616,1.8,3.4,5.3,2.3,0.8,1.2,1.4,2.2,9.9,Oso Ighodaro
102,98,30.7,4,9.7,0.41,1.3,3.9,0.345,2.6,5.8,0.454,0.479,1.8,2.9,0.624,2.1,5.1,7.2,2.9,1,0.4,1.9,1.8,11.1,Harrison Ingram
25,6,19.3,1.6,4.5,0.366,0.6,2.4,0.267,1,2.1,0.481,0.438,0.9,1.4,0.676,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,4.8,Bronny James
149,107,20.5,2.7,5.1,0.52,0.4,1.4,0.309,2.2,3.8,0.598,0.562,1.4,2.2,0.642,1.4,3,4.5,1,0.6,0.5,1,1.4,7.2,Keshad Johnson
116,99,24.3,2.4,6.7,0.356,1.1,3.6,0.301,1.3,3.1,0.42,0.437,1.2,1.6,0.75,0.4,2,2.4,2,1.4,0.1,2.7,2.6,7,Aj Johnson
119,96,32.8,5,10,0.499,0.9,2.7,0.32,4.1,7.3,0.565,0.542,4.2,5.1,0.823,1.1,8.5,9.6,3.5,1.7,0.1,2.7,2,15,Dillon Jones
94,11,12.5,1.2,4,0.306,0.7,2.5,0.285,0.5,1.4,0.346,0.398,0.6,0.9,0.618,0.7,1.3,1.4,0.7,0.4,0,1.1,1.1,3.7,David Jones
31,4,5.1,0.4,1.3,0.282,0.1,0.1,0.667,0.3,1.2,0.25,0.308,0.3,0.6,0.421,0.5,0.5,1,0,0.1,0.2,0.5,0.6,1,Isaac Jones
111,110,31.9,4.3,9.3,0.469,1.9,5.2,0.375,2.4,4.1,0.589,0.574,1.6,1.9,0.841,1.5,3.4,4.9,1.9,0.7,1,1.1,2.1,12.2,Alex Karaban
33,5,20.5,1.8,4.5,0.407,0.8,2.3,0.368,1,2.2,0.446,0.5,0.8,1.1,0.743,1.1,3.5,4.5,0.8,0.5,0.6,1,2,5.3,Bobi Klintman
103,79,29.8,5.9,12.7,0.461,2.1,5.5,0.383,3.7,7.2,0.522,0.545,3.1,4,0.768,0.7,4.5,5.2,1.5,0.7,0.6,1.7,1.6,16.9,Dalton Knecht
121,117,31.4,4,9.3,0.436,1.5,4.3,0.355,2.5,5,0.504,0.517,1.9,2.3,0.819,0.6,3.5,4.1,6.2,1.5,0.1,2.4,1.7,11.5,Tyler Kolek
133,74,26.1,3.1,6.4,0.49,1,2.6,0.397,2.1,3.8,0.552,0.57,2.3,2.9,0.813,0.8,3,3.8,2.8,0.8,0.3,1.9,2.5,9.6,Pelle Larsson
138,108,28.6,3.8,8.5,0.441,0.8,2.7,0.309,2.9,5.8,0.504,0.491,2.6,3.5,0.756,1.1,4.3,5.4,2.4,1.6,0.5,1.9,2.6,11,Kevin Mccullar
91,87,32.5,5.5,10.8,0.511,0.8,2.3,0.332,4.8,8.6,0.558,0.546,4.2,5.2,0.818,0.2,2.7,3,4.3,1.1,0.3,2.2,2.4,16.1,Ajay Mitchell
64,62,26.8,4.8,7.8,0.619,0,0,0,4.8,7.8,0.622,0.619,1.7,2.9,0.578,2.9,5.7,8.7,2.6,1.4,1,1.7,2.4,11.3,Jonathan Mogbo
157,143,31.6,3.9,9.6,0.402,1.4,4.1,0.327,2.5,5.5,0.458,0.472,3.7,4.5,0.831,1,4,5.1,4.9,1.2,0.3,2.5,2,12.8,Tristen Newton
124,59,20.6,3.9,7.7,0.507,0.8,2,0.388,3.1,5.7,0.548,0.556,1.6,2.1,0.79,1.5,3.6,5.1,1.3,0.5,1,1.6,2.2,10.2,Quinten Post
156,107,29.3,5.3,11.8,0.452,2,5.1,0.384,3.4,6.7,0.504,0.535,2.4,3.1,0.801,0.6,2.5,3.1,1.3,0.6,0.2,1.6,1.7,15.1,Antonio Reeves
120,68,23.1,3.4,8.2,0.412,1.9,5.4,0.351,1.5,2.9,0.526,0.527,0.9,1.1,0.818,0.4,2.1,2.5,1.3,0.6,0.4,1.1,1.5,9.6,Jaxson Robinson
135,66,25.3,4.1,8.5,0.479,1,3,0.333,3.1,5.6,0.557,0.537,1.9,2.4,0.787,0.6,2.7,3.3,1.8,0.9,0.4,1.4,1.8,11.1,Hunter Sallis
134,74,23.4,4,9.6,0.42,2,5.7,0.357,2,3.9,0.51,0.525,2,2.2,0.896,1,3.6,4.6,1.9,0.6,0.4,1.1,2,12.1,Payton Sandfort
162,133,31.6,4.7,10.2,0.461,2.2,5.6,0.39,2.5,4.6,0.549,0.569,2.2,2.6,0.82,0.7,7,7.8,3.6,0.9,0.2,2.1,1.9,13.8,Baylor Scheierman
170,151,30.9,5.1,11.5,0.445,1.9,5.1,0.375,3.2,6.4,0.501,0.528,4.5,5.3,0.858,1,3,3.9,3.9,1.3,0.1,2.4,1.7,16.7,Mark Sears
138,108,27.5,3.6,8.8,0.412,0.9,3.1,0.296,2.7,5.6,0.476,0.465,1.5,2,0.772,0.6,2.3,2.8,5,1.6,0.3,1.8,1.9,9.7,Jamal Shead
98,66,29.6,4.9,11.4,0.429,1.4,3.9,0.347,3.5,7.5,0.471,0.488,3.4,4.1,0.834,0.6,3.7,4.3,3.9,1.3,0.1,2.3,2,14.6,Kj Simpson
45,21,22.2,2.9,7.3,0.393,0.9,2.7,0.333,2,4.6,0.428,0.454,1.3,1.9,0.682,0.8,1.8,2.6,2,0.9,0.1,2.2,1.4,7.9,Tyler Smith
132,116,32.3,4.9,10.5,0.468,2.1,5.1,0.417,2.8,5.5,0.516,0.568,2.2,2.5,0.878,0.8,3.6,4.3,3.3,1.6,0.2,1.2,1.9,14.2,Cam Spencer
69,68,26.9,6.4,10.9,0.582,0.4,1.3,0.333,5.9,9.7,0.615,0.601,2,3.2,0.633,3.5,5.8,9.2,0.9,0.9,1.7,1.2,2.5,15.2,Jt Toppin
70,61,28.7,5.1,10.8,0.47,1.3,3.6,0.372,3.7,7.2,0.519,0.532,2.1,2.7,0.776,1.5,4.4,5.8,2.2,1.2,0.4,2.2,1.9,13.6,Jaylon Tyson
126,84,25.6,4,9.4,0.427,1.1,3.5,0.325,2.9,5.9,0.489,0.488,3.7,4.9,0.758,1,4,5.1,1.9,1.3,0.6,2.1,2.3,12.9,Jamir Watkins
34,20,29.2,4.1,9.4,0.436,2.1,4.9,0.417,2,4.4,0.457,0.545,2.3,2.9,0.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,12.6,Jaylen Wells
107,85,32,4.6,10.4,0.442,1.4,3.8,0.358,3.2,6.6,0.491,0.508,2.3,2.8,0.822,0.4,4.2,4.6,3.2,1,0.4,1.9,1.8,12.9,Trey Alexander
30,28,26.9,4.5,9.1,0.495,0.7,1.8,0.389,3.8,7.3,0.521,0.533,1.5,2.1,0.698,0.8,3,3.8,2.2,1.1,0.3,2.4,1.7,11.2,Amari Bailey
48,42,29.9,5.3,13.1,0.4,2.1,6.4,0.33,3.1,6.8,0.466,0.48,3,4.1,0.749,0.7,4.1,4.8,1.4,0.7,0.5,2.5,2.1,15.6,Emoni Bates
126,121,32.7,3.5,8.2,0.429,0.7,2.2,0.319,2.8,6,0.469,0.472,1.8,2.3,0.767,0.4,3,3.4,5,1.8,0.5,1.6,1.5,9.5,Reece Beekman
36,36,34.9,4.1,9.1,0.453,0.8,2.6,0.301,3.4,6.6,0.513,0.495,3.7,5.3,0.705,1.3,3.8,5.1,3.9,2.1,0.6,3,2.6,12.8,Anthony Black
66,65,24.7,3.9,6.3,0.621,0,0,0,3.9,6.3,0.622,0.621,2.3,3.5,0.652,2.1,3.5,5.6,1,0.8,1.7,1.9,3.5,10.1,Adem Bona
123,118,25.1,4,8,0.492,0.8,2.6,0.313,3.1,5.5,0.577,0.542,2.1,2.8,0.747,1.7,4.3,6,1.7,1.1,0.5,1.7,2.6,10.8,Kobe Brown
61,33,23.3,3.3,7.2,0.463,0.8,2.6,0.325,2.5,4.6,0.541,0.522,1.5,1.8,0.833,0.6,2.4,3,1.7,0.9,0.4,1.3,1.7,9,Kobe Bufkin
125,116,27.4,4.2,8.2,0.513,0.6,1.8,0.307,3.6,6.3,0.573,0.548,2,3.2,0.631,2,4.8,6.9,1.4,1,0.8,2.2,2.7,11,Toumani Camara
90,35,19.1,2.9,5.8,0.49,0.4,1.3,0.302,2.5,4.6,0.544,0.524,1.2,1.9,0.661,1.5,2.6,4.1,1,1.3,0.2,0.8,1.7,7.4,Jaylen Clark
36,36,25.4,3.4,7,0.486,0.9,3.3,0.283,2.5,3.7,0.669,0.553,2,3.1,0.649,2.1,5.8,7.9,0.8,0.6,0.9,1.3,2.5,9.8,Noah Clowney
36,36,32.7,4.8,10.9,0.442,2.3,5.7,0.403,2.5,5.2,0.484,0.547,2.1,2.5,0.854,1.1,4,5.1,1.7,1.4,0.3,1.3,2.1,14.1,Gradey Dick
