G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
112,80,15.2,2.3,3.8,0.625,0,0.1,0.167,2.3,3.7,0.631,0.626,1.2,2.3,0.521,1.3,2.2,3.7,0.6,0.4,0.7,1.4,2.4,5.9,David Johnson
123,37,16.5,1.9,4.5,0.414,1.1,2.9,0.371,0.8,1.6,0.49,0.532,0.8,1,0.856,0.7,1.7,2.4,0.8,0.4,0.5,0.7,1.3,5.6,Jalen Johnson
128,115,30.8,4.9,11.5,0.429,2.3,5.8,0.399,2.6,5.7,0.459,0.529,4,4.8,0.848,0.4,2.7,3.1,2.1,0.7,0,1.7,1.9,16.2,Keon Johnson
60,13,13.7,2,4,0.511,0.2,0.7,0.3,1.8,3.3,0.553,0.536,0.8,1.7,0.5,0.8,1.9,2.7,0.7,0.5,1.2,1.2,1.9,5.1,Herbert Jones
53,14,19.7,2.3,4.1,0.553,0.4,1.1,0.345,1.9,3,0.627,0.598,1.2,1.8,0.677,1.5,2.5,4,0.5,0.7,1,1.1,2.3,6.2,Kai Jones
118,106,33.2,5.6,12.5,0.447,1,3.2,0.325,4.5,9.3,0.489,0.489,3.7,4.6,0.79,0.6,4.1,4.7,4.7,1.4,0.1,2.2,1.7,15.9,Carlik Jones
85,57,25.5,4.3,10,0.431,1.3,3.8,0.352,3,6.2,0.479,0.498,1.6,1.8,0.853,0.7,2.9,3.6,1.2,0.6,0.2,1.2,1.6,11.6,Johnny Juzang
137,108,27.4,4.1,8.4,0.483,2,4.8,0.408,2.1,3.6,0.585,0.601,1.5,1.8,0.824,1,3.1,4,1.4,0.7,0.4,1,1.6,11.6,Corey Kispert
151,118,25.7,4,9.2,0.44,0.6,2.1,0.291,3.4,7.1,0.485,0.474,1.9,3.3,0.586,1.2,3.2,4.3,2.7,0.8,0.2,2.5,2.6,10.6,Aj Lawson
51,31,27.6,2.7,6.2,0.443,0.7,2.1,0.343,2,4.1,0.493,0.5,2,2.7,0.759,0.9,2.5,3.4,1.1,1.4,1.1,1.4,2.3,8.2,Scottie Lewis
119,69,23.4,2.9,6.3,0.465,1.4,3.3,0.412,1.5,2.9,0.526,0.575,1.1,1.3,0.856,0.9,2.9,3.8,0.9,0.5,0.5,0.8,1.6,8.3,Isaiah Livers
2,2,24,3.5,7,0.5,0,1.5,0,3.5,5.5,0.636,0.5,4.5,5,0.9,1,5,6,2,0,1,4.5,3.5,11.5,Makur Maker
115,79,24.4,3.5,7.6,0.459,0.9,2.6,0.339,2.6,5,0.521,0.517,1.7,2.6,0.663,1.7,4,5.7,1.6,0.6,0.7,1.6,2,9.6,Sandro Mamukelashvili
53,28,24.4,3.6,8.5,0.422,1.3,3.6,0.349,2.3,4.9,0.477,0.497,1.8,2.2,0.788,0.5,3.1,3.6,1.9,0.9,0.1,1.9,2.1,10.2,Tre Mann
159,66,17.8,2.8,6.8,0.413,1.1,3.3,0.339,1.7,3.5,0.481,0.494,1.3,1.8,0.689,0.9,2.7,3.6,0.9,0.8,0.5,1,1.7,8,Matthew Mayer
60,30,28,4.3,10.3,0.419,1.2,3.2,0.368,3.2,7.1,0.442,0.476,2.8,3.6,0.785,0.8,2.3,3.1,3.3,1.5,0.4,1.6,1.7,12.6,Miles Mcbride
94,60,27.1,3.3,7.1,0.459,1.2,3.2,0.376,2.1,4,0.525,0.542,1.2,1.9,0.657,0.4,1.8,2.1,3.6,1.3,0.2,1.9,2.4,9,Davion Mitchell
33,33,33.9,6,10.3,0.578,0.4,1.2,0.3,5.6,9.1,0.615,0.595,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,Evan Mobley
95,72,27.5,3.7,8.1,0.46,0.7,2,0.36,3,6.1,0.492,0.504,2,3.3,0.596,2.1,4.9,7,2,0.6,0.8,1.5,2.2,10.1,Isaiah Mobley
32,32,33.8,5.2,12.1,0.427,1.8,5.1,0.358,3.3,7,0.478,0.503,4.7,5.8,0.812,2,3.8,5.8,1.6,1,0.7,1.6,2.3,16.8,Moses Moody
116,70,20.1,2.2,4.6,0.484,0.5,1.5,0.318,1.8,3.1,0.565,0.536,0.7,1.1,0.653,1,2.3,3.3,0.6,0.4,1.2,0.9,1.7,5.7,Yves Pons
82,73,34.1,4.9,9.8,0.498,1,2.7,0.357,3.9,7.1,0.551,0.547,1.8,2.6,0.703,0.8,4.8,5.6,5.9,1.2,0.1,2.6,1.2,12.6,Jason Preston
30,19,22.5,2.8,6.5,0.431,1.4,3.8,0.381,1.4,2.7,0.5,0.541,1.1,1.5,0.75,1,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,Joshua Primo
86,84,28,5.1,8.7,0.594,0,0.1,0.375,5.1,8.6,0.596,0.596,2.9,4.4,0.646,2.5,6.5,9,2,0.7,2.5,2.5,2.7,13.2,Neemias Queta
122,67,24.5,3.3,7.8,0.421,1.3,3.7,0.347,2,4.1,0.487,0.503,2.9,3.5,0.844,0.5,3.3,3.8,2.6,0.7,0.3,1.7,1.5,10.8,Austin Reaves
56,56,33.5,4.8,10,0.478,0.8,2.6,0.301,4,7.4,0.54,0.517,2.5,3.2,0.768,2.5,6.4,9,2.1,1.1,0.6,1.9,2.3,12.8,Jeremiah Robinson-earl
119,77,20.5,2.7,4.3,0.639,0,0,0,2.7,4.3,0.64,0.639,1.2,2.2,0.524,1.8,3.6,5.4,0.4,0.4,0.8,1.2,2.2,6.6,Jericho Sims
25,15,25.9,4.2,9.1,0.467,0.8,1.8,0.435,3.4,7.2,0.475,0.511,3.2,4,0.81,1,2.5,3.5,2.9,1.2,0.4,2.4,2,12.5,Jaden Springer
24,22,30.8,4.7,11,0.426,1.8,5.3,0.341,2.9,5.8,0.504,0.508,1.8,2.2,0.811,1.2,2.7,3.9,2.4,1.1,0.6,2,1.2,13,Dj Steward
27,27,23,3.1,7.1,0.44,0.8,2.7,0.297,2.3,4.3,0.53,0.497,2.3,3.1,0.741,1.6,3.4,5,0.9,0.8,1.4,1.6,2,9.4,Jt Thor
63,29,27.8,2.7,6.1,0.441,0.1,0.4,0.25,3.6,7.2,0.447,0.445,1.9,2.4,0.8,,,3.4,7.2,2.1,0.1,2.9,2.3,7.3,Duane Washington
59,58,33,5.5,11.4,0.484,0.6,2.1,0.29,4.9,9.3,0.528,0.511,3.2,4.8,0.662,1.9,5.4,7.3,2.3,1,0.7,2.6,2.3,14.9,Trendon Watford
97,97,29.7,4.4,9.5,0.467,1.9,4.6,0.412,2.5,4.9,0.519,0.567,2.5,3.2,0.771,1.3,4.5,5.8,1.5,0.9,0.4,1.4,1.6,13.2,Joe Wieskamp
96,50,28.2,3.9,9.6,0.407,1.8,5,0.361,2.1,4.6,0.456,0.5,1.4,1.8,0.769,1.1,3.6,4.6,1.6,0.9,0.4,1.4,1.8,11,Aaron Wiggins
20,14,27.9,3.8,10.2,0.374,1.2,4,0.291,2.7,6.2,0.427,0.431,2,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,Ziaire Williams
111,87,25.2,4.2,8.5,0.492,0.2,1,0.23,4,7.5,0.528,0.506,1.5,2.6,0.604,1.6,3.9,5.5,1.1,0.8,1,1.7,2.2,10.2,Moses Wright
92,75,32.2,5,10.5,0.471,2.3,5.5,0.423,2.6,5,0.523,0.582,1.8,2.3,0.772,0.3,3.2,3.5,4.2,1.1,0.1,2.2,1.9,14.1,Marcus Zegarowski
31,31,30.4,5.9,11.9,0.493,0.4,1.3,0.325,5.5,10.6,0.514,0.511,3.6,6,0.599,3,7.8,10.8,1,1.1,1.9,2.8,2.4,15.8,Precious Achiuwa
98,66,28.2,4.1,9.8,0.418,2.1,5.8,0.372,1.9,4,0.485,0.528,2.4,2.9,0.813,0.3,3.4,3.7,2.3,0.9,0.2,1.6,1.6,12.7,Ty-shon Alexander
99,87,25,4,7.6,0.53,0.2,0.6,0.305,3.8,7,0.549,0.542,3,4.1,0.747,1.9,6.2,8.1,0.9,1,1,1.9,2.3,11.2,Tyler Bey
119,111,30.7,6.7,12.5,0.537,0.6,1.6,0.356,6.2,10.9,0.564,0.56,3,4.8,0.636,2,6.9,8.8,1.9,0.8,1.3,2.2,2.5,17.1,Yoeli Childs
134,52,20.9,3,5.6,0.524,0.2,0.6,0.337,2.7,5,0.547,0.542,1.3,1.8,0.72,1.2,2.9,4.1,0.3,0.5,1.2,1,2.2,7.4,Mamadi Diakite
66,66,33.6,5,10.5,0.474,1.1,3.2,0.332,3.9,7.3,0.538,0.525,3.9,4.8,0.808,0.6,3.3,3.8,3.7,1.7,0.1,2.3,2.2,14.9,Devon Dotson
64,60,32.2,5.7,13.8,0.413,2,5.4,0.367,3.7,8.4,0.443,0.485,3.2,4.2,0.749,1.4,6.1,7.5,2.4,1.4,0.7,2.6,2.8,16.6,Cj Elleby
137,69,25.4,2.8,6.2,0.462,0.2,0.8,0.248,2.6,5.4,0.494,0.478,2.5,3.3,0.748,1,3.1,4.1,3.3,1.6,0.3,1.9,1.5,8.3,Trent Forrest
67,59,30.6,3.1,7.1,0.432,0.4,1.7,0.265,2.6,5.5,0.484,0.463,2.8,3.5,0.791,0.4,2.7,3.2,5.2,1.8,0.1,2.9,2.3,9.4,Ashton Hagans
13,2,8.7,0.5,1.8,0.25,0.3,0.8,0.364,0.2,1,0.154,0.333,0.5,0.8,0.6,0,0.5,0.5,1.2,0.5,0,1.3,1.1,1.7,Jalen Harris
128,121,30.1,6.8,15.2,0.444,3.4,7.9,0.427,3.4,7.3,0.463,0.556,4.7,5.3,0.882,0.4,2.8,3.2,3.1,1,0,3,2.4,21.6,Markus Howard
91,73,30.7,4.5,11,0.411,2.1,6.1,0.342,2.4,4.9,0.497,0.506,2.8,3.7,0.763,0.5,3.5,4,2.1,1,0.7,1.8,1.9,13.9,Elijah Hughes
60,59,32.7,4.7,12,0.39,3.5,9.1,0.378,1.2,2.8,0.429,0.534,2.4,2.9,0.827,0.6,2.8,3.4,1.7,1.5,0.2,1.5,1.9,15.2,Isaiah Joe
65,56,31.5,5,11.7,0.431,2.2,6.2,0.358,2.8,5.5,0.513,0.526,5.4,6.5,0.819,0.6,4,4.6,3.1,1.2,0.2,2.5,2.7,17.6,Mason Jones
125,98,26.6,6.1,10.9,0.56,0.4,1.5,0.283,5.7,9.4,0.604,0.579,4.5,6.1,0.736,2.2,5.6,7.7,2.1,0.5,1.8,2.2,3,17.1,Nathan Knight
99,82,30.9,4.6,10.4,0.439,1.1,3.7,0.289,3.5,6.7,0.524,0.491,2.7,3.7,0.725,1.1,4.9,5.9,3,1,0.3,2.7,2.3,12.9,Naji Marshall
116,97,25,4.4,7.5,0.586,0,0.1,0.222,4.4,7.5,0.59,0.587,2.2,3.7,0.581,2.5,7.2,7.5,1.2,1.1,2.5,1.6,2.9,11,Kenyon Martin
130,121,30.5,4,9,0.445,1.3,3.9,0.345,2.7,5.1,0.52,0.519,3.1,3.7,0.845,0.5,3.1,3.6,2.9,1.6,0.2,1.8,1.7,12.4,Skylar Mays
32,32,30.7,5.6,9.8,0.57,0.2,0.5,0.294,5.4,9.3,0.586,0.578,4.8,6.3,0.76,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,Zeke Nnaji
93,59,26.3,4.7,10.6,0.445,1.9,4.9,0.394,2.8,5.7,0.489,0.535,2.6,3.3,0.785,1.2,4.9,6,1,0.8,0.2,1.8,1.9,13.9,Jordan Nwora
129,97,30.8,5.7,13.6,0.421,2.7,7.8,0.346,3,5.8,0.522,0.52,3.3,4.1,0.814,0.7,2.6,3.3,2.3,1.3,0.2,2.2,2.2,17.5,Myles Powell
67,27,25,2.9,7.1,0.403,1.4,3.5,0.397,1.5,3.7,0.409,0.499,2.9,3.3,0.895,0.3,2.6,2.9,1.5,0.6,0.1,1.2,1.7,10.1,Immanuel Quickley
132,123,32.3,6.7,12.8,0.519,1.4,4,0.356,5.3,8.9,0.593,0.574,4,5,0.796,0.5,2.8,3.3,2.8,1.3,0.3,2.2,1.9,18.7,Grant Riller
64,64,28.9,4.9,9.5,0.516,0.8,2.5,0.323,4.1,7,0.584,0.558,2.9,4.1,0.709,3,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5,Jalen Smith
29,29,27.4,4.4,9.3,0.474,1.1,3,0.36,3.3,6.3,0.527,0.531,2.7,3.6,0.733,1.9,3,4.9,1,0.7,0.7,1.9,2.2,12.6,Cassius Stanley
135,135,32.2,5.9,13.6,0.435,0.6,2.3,0.276,5.3,11.3,0.468,0.458,3.8,5.2,0.738,1.5,5,6.5,1.9,0.8,0.9,2.4,2.6,16.3,Lamar Stevens
122,60,20.1,2,5.6,0.365,1,3,0.325,1,2.5,0.412,0.453,1.2,1.5,0.792,0.3,1.8,1.8,1.9,0.6,0.3,2.2,2.4,6.2,Isaiah Stewart
31,31,32.6,4.7,10.7,0.441,2,4.9,0.408,2.7,5.8,0.47,0.535,3.2,3.5,0.891,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,Tyrell Terry
108,59,20.3,3.6,6.5,0.548,1,2.2,0.444,2.6,4.3,0.603,0.624,1.4,1.8,0.75,1.2,3.4,4.6,1.4,0.8,0.7,1,2.3,9.5,Killian Tillie
105,45,21.3,3.3,5.7,0.582,0.2,0.7,0.273,3.1,5,0.628,0.599,1.9,2.7,0.695,2,4.6,6.6,1.6,0.8,1.5,1.3,2.2,8.7,Xavier Tillman
96,92,25.3,4.3,8.6,0.495,0.8,2,0.385,3.5,6.6,0.529,0.54,3.6,4.9,0.729,2.4,4.6,7,1.6,0.8,0.8,1.9,3,12.9,Kaleb Wesson
18,8,12.8,1.3,3.4,0.371,0.2,0.9,0.25,1.1,2.6,0.413,0.403,0.6,1.3,0.435,0.8,0.9,1.7,0.4,0.3,0.2,0.8,1.3,3.3,Kahlil Whitney
139,108,28.8,4.7,10.1,0.461,1.9,4.3,0.43,2.8,5.8,0.484,0.553,3,3.5,0.845,0.2,2.5,2.7,6.4,0.9,0.1,2.7,2,14.2,Cassius Winston
97,18,13.8,1.7,3.6,0.474,0.1,0.1,0.429,1.6,3.4,0.476,0.483,0.9,1.5,0.641,,,2.5,0.9,0.6,0,1.1,1.4,4.4,Robert Woodard
67,67,29.9,4.7,10.1,0.464,1.7,4.5,0.383,3,5.6,0.529,0.549,2.4,3.1,0.763,0.6,3.4,4,2.7,1.4,0.5,2.2,1.9,13.5,Nickeil Alexander-walker
38,38,35.3,8.4,18.5,0.454,1.9,6.2,0.308,6.5,12.2,0.529,0.506,3.9,5.9,0.665,1.6,6,7.6,4.3,0.9,0.4,3.2,1.8,22.6,Rj Barrett
72,72,30.5,6.1,10.2,0.596,0.4,1.3,0.319,5.7,9,0.636,0.616,3.3,4.3,0.768,3,7.5,10.5,0.8,0.6,2.6,2.5,2.5,15.9,Charles Bassey
9,9,29.8,8.2,14.7,0.561,1.4,2.8,0.52,6.8,11.9,0.57,0.61,3.1,4.1,0.757,2.1,7.4,9.6,1,0.8,2.7,2,1.7,21,Bol Bol
95,87,26.1,3.6,8.4,0.424,1,2.7,0.353,2.6,5.7,0.458,0.481,1.6,2,0.817,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,Jordan Bone
98,94,35.5,5.9,13.6,0.433,2.3,5.8,0.388,3.6,7.8,0.466,0.516,2.9,3.9,0.762,0.8,5.6,6.4,3.9,1.3,0.3,3,2.6,16.9,Ky Bowman
37,37,29.6,5.1,11,0.462,1.5,3.9,0.392,3.6,7.1,0.5,0.531,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,Ignas Brazdeikis
32,31,23.4,4.2,6.8,0.607,0,0,,4.2,6.8,0.607,0.607,1.4,4,0.352,3.4,4.9,8.3,0.3,0.6,1.9,1.5,2.3,9.7,Moses Brown
98,69,27.8,6,9.3,0.639,0.1,0.2,0.25,5.9,9.1,0.649,0.642,2.5,4,0.618,2.7,4.9,7.7,1.9,1,2.4,1.5,2.2,14.5,Brandon Clarke
65,37,23,2.8,6.1,0.457,0.4,1.3,0.302,2.4,4.8,0.5,0.49,2.4,4,0.611,2,4.2,6.2,1,0.6,1.9,1.4,2.3,8.4,Nicolas Claxton
93,92,28,5.3,9.8,0.542,0,0.2,0.143,5.3,9.6,0.552,0.544,3.5,5.5,0.639,2.1,4.5,6.7,1.8,0.7,0.5,2.6,2.5,14.1,Tyler Cook
75,58,29.5,5.3,11.6,0.459,1.4,4.1,0.341,3.9,7.5,0.522,0.518,2.9,4.2,0.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2,14.9,Jarrett Culver
121,82,24.3,4.5,10.2,0.445,1.5,4.3,0.339,3.1,5.9,0.522,0.516,2,2.7,0.717,1.2,3.8,4.9,2.1,1.2,0.6,2,2.6,12.5,Terence Davis
34,33,31.5,5.1,12.6,0.405,1.6,5.2,0.307,3.5,7.5,0.472,0.467,4.3,6.1,0.7,1.3,3,4.3,2.3,1.5,0.2,2.9,3,16.1,Luguentz Dort
66,66,33.6,5,10.5,0.474,1.1,3.2,0.332,3.9,7.3,0.538,0.525,3.9,4.8,0.808,0.6,3.3,3.8,3.7,1.7,0.1,2.3,2.2,14.9,Devon Dotson
108,94,29.4,5.9,14.2,0.412,2.6,7.1,0.368,3.3,7.2,0.455,0.504,3.4,4.2,0.817,0.4,3,3.4,2.5,1.2,0.2,2.2,1.9,17.8,Carsen Edwards
115,110,23,4.3,5.8,0.74,0,0,0,4.3,5.8,0.741,0.74,1.4,3.3,0.432,2.7,5,7.7,0.4,0.2,2.4,2.1,2.6,10.1,Tacko Fall
64,53,26.4,4.5,7.6,0.595,0.1,0.2,0.308,4.5,7.4,0.603,0.599,2.9,3.8,0.763,2.3,6.5,8.7,1.4,0.5,1.6,2.3,2.8,12,Bruno Fernando
5,5,27.8,5.8,10.8,0.537,2.2,4.6,0.478,3.6,6.2,0.581,0.639,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3,1.4,16.2,Darius Garland
96,87,29.3,4.2,10.3,0.411,2,5.6,0.366,2.2,4.7,0.464,0.51,2,2.9,0.701,0.9,3,3.9,2.2,0.9,0.2,2,2.3,12.5,Quentin Grimes
106,78,29.1,4.4,10.1,0.433,2.4,5.6,0.425,2,4.5,0.444,0.552,1.3,1.6,0.806,0.4,2.6,3,1.6,0.7,0,1.1,1.1,12.5,Kyle Guy
64,48,28.3,4.1,9.9,0.409,1.7,4.6,0.373,2.4,5.4,0.44,0.495,2.3,3,0.762,0.5,3.3,3.8,4.4,1.2,0.2,2.5,1.4,12.1,Jaylen Hands
37,37,32.6,5,10.9,0.462,1.6,4.6,0.355,3.4,6.3,0.538,0.536,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14,Tyler Herro
35,34,27.2,4.4,10.9,0.406,1.4,4.5,0.308,3,6.4,0.475,0.47,1.6,2.5,0.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,Talen Horton-tucker
85,47,23.6,3.6,6.7,0.53,0.9,2.5,0.377,2.6,4.2,0.62,0.6,1.8,2.4,0.77,1.5,3.5,5,1.2,0.8,1.1,1.3,2.8,9.9,Daquan Jeffries
105,76,26.4,3.5,8,0.435,1.6,4,0.392,1.9,3.9,0.479,0.534,1.1,1.4,0.788,0.3,2.8,3,3.7,1.2,0,1.4,1.9,9.6,Ty Jerome
37,36,30.7,4.6,10.1,0.461,1.2,3.2,0.381,3.4,6.9,0.498,0.521,2.9,4.2,0.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,Keldon Johnson
118,79,19.9,3.7,8,0.464,0,0,0.333,3.7,8,0.465,0.465,2.6,4.3,0.611,2.1,3.3,5.4,0.7,0.9,0.5,2,3.2,10.1,Cameron Johnson
71,0,18.3,3.5,7,0.498,0.5,1.3,0.374,3,5.8,0.526,0.532,2.8,3.9,0.724,2,3.3,5.3,0.3,0.5,1.2,1.2,2.4,10.3,Mfiondu Kabengele
31,28,30.4,4.8,11,0.435,1.9,4.9,0.386,2.9,6,0.476,0.522,2,2.5,0.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5,13.5,Louis King
32,32,34.1,5.5,12.3,0.448,1.1,3.9,0.272,4.5,8.4,0.53,0.491,4.4,6.1,0.722,1.4,4,5.4,2.3,0.8,0.8,2.1,1.9,16.5,Romeo Langford
101,100,33.1,6.4,14.1,0.455,0.9,2.8,0.332,5.5,11.3,0.485,0.488,4.4,5.9,0.757,3,6.8,9.9,2.5,1.2,1.6,2.6,2.6,18.2,Dedric Lawson
36,0,18.2,3.6,7.6,0.478,0.4,1.4,0.269,3.3,6.2,0.527,0.504,2.1,2.8,0.77,1.6,3,4.6,0.7,0.5,0.5,1.3,1.6,9.8,Nassir Little
140,101,25.9,3.6,6.5,0.552,0.4,1.2,0.327,3.2,5.4,0.601,0.581,1.8,2.8,0.67,1.9,3.2,5.1,1.9,0.8,0.2,1.4,2,9.4,Terance Mann
122,87,28.9,3.7,7.4,0.501,0.4,1.3,0.325,3.3,6.1,0.539,0.529,1.9,2.7,0.689,1.4,3.2,4.6,3.6,1.3,0.8,1.6,2.3,9.7,Cody Martin
111,78,24.1,3.4,7.4,0.464,0.6,1.9,0.308,2.9,5.5,0.517,0.503,1.6,2.8,0.576,1.2,2.9,4.1,1.4,0.7,0.4,1.4,1.6,9.1,Charles Matthews
67,55,27.9,5,10,0.504,0.4,1.4,0.298,4.6,8.6,0.538,0.525,2.7,3.6,0.758,2.1,5.8,7.9,1.5,1,0.5,1.8,2.6,13.2,Jalen Mcdaniels
70,67,33.5,6,12.6,0.476,1.3,3.2,0.396,4.7,9.4,0.504,0.527,2.8,3.5,0.789,1,3.7,4.6,2.9,1.2,0.3,2.7,2.5,16.1,Jaylen Nowell
93,59,26.3,4.7,10.6,0.445,1.9,4.9,0.394,2.8,5.7,0.489,0.535,2.6,3.3,0.785,1.2,4.9,6,1,0.8,0.2,1.8,1.9,13.9,Jordan Nwora
72,38,25.5,3.6,7.5,0.481,1.2,3.2,0.389,2.4,4.3,0.55,0.564,1.4,2,0.703,2.4,3.9,6.3,1.5,1.3,1,1.3,1.9,9.9,Chuma Okeke
87,82,31.7,5.2,12.1,0.428,2,5.6,0.356,3.2,6.5,0.49,0.51,2.7,3.5,0.777,0.8,5.4,6.2,3.3,0.9,1,2.6,2.8,15,Miye Oni
137,109,29.6,4.3,9.2,0.468,1.2,3.7,0.331,3.1,5.4,0.562,0.535,2.5,3.2,0.765,1.5,3.6,5.1,1.5,0.7,0.5,1.9,2.3,12.3,Eric Paschall
96,96,35.2,6.6,15.1,0.436,1.9,5.9,0.328,4.6,9.1,0.507,0.501,4.4,5.2,0.84,1.1,3.4,4.5,4.3,2.3,0.2,2.2,1.8,19.5,Shamorie Ponds
75,37,22.7,3.1,7.3,0.434,1.5,4.1,0.37,1.6,3.1,0.519,0.54,1.6,1.9,0.831,0.1,2,2.2,1.4,0.8,0.2,1.1,1.5,9.4,Jordan Poole
33,7,24.5,3.2,7.2,0.437,1.2,3.3,0.364,1.9,3.9,0.5,0.521,2.4,3.2,0.75,1.5,5.3,6.8,2.2,0.8,1.7,1.9,2.9,9.9,Jontay Porter
86,84,28,5.1,8.7,0.594,0,0.1,0.375,5.1,8.6,0.596,0.596,2.9,4.4,0.646,2.5,6.5,9,2,0.7,2.5,2.5,2.7,13.2,Neemias Queta
34,32,27.2,5,10.7,0.468,0.8,2.5,0.333,4.2,8.3,0.509,0.507,2.7,3.8,0.727,2.5,4.7,7.2,0.9,0.7,0.7,2.5,3.2,13.6,Naz Reid
97,52,23.9,2.9,6.1,0.476,0.5,1.5,0.336,2.4,4.6,0.523,0.518,1.8,2.6,0.702,1.6,3.9,5.5,1.5,0.8,1.6,1.6,2.8,8.1,Isaiah Roby
132,95,24.9,4.4,9.7,0.458,1.4,3.6,0.387,3,6.1,0.501,0.53,1.6,2.1,0.763,1.3,4.1,5.3,1.3,0.7,0.4,1.4,2.6,11.9,Admiral Schofield
137,57,20.7,3.3,7.1,0.47,0.9,2.4,0.381,2.4,4.6,0.516,0.535,1.4,1.7,0.787,0.5,2.2,2.7,1.3,0.7,0.2,1.3,1.5,8.9,Marial Shayok
32,31,26.7,4.1,8.8,0.468,0,0.6,0.056,4.1,8.2,0.496,0.47,2.7,4.7,0.576,1.6,5.1,6.7,1.8,0.7,0.5,2.9,2.3,10.9,Simisola Shittu
108,59,20.3,3.6,6.5,0.548,1,2.2,0.444,2.6,4.3,0.603,0.624,1.4,1.8,0.75,1.2,3.4,4.6,1.4,0.8,0.7,1,2.3,9.5,Killian Tillie
66,61,32.7,5.2,12.2,0.423,1.9,5.7,0.34,3.2,6.5,0.496,0.503,3.3,4.2,0.807,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,Tremont Waters
131,117,31.2,5.4,11.2,0.48,1.4,3.9,0.368,4,7.4,0.539,0.544,3.2,4,0.788,1.4,3.7,5.2,2.4,1.5,0.4,2.3,2.3,15.4,Quinndary Weatherspoon
35,35,28.5,5.4,12.7,0.423,2.3,6.6,0.353,3,6.1,0.5,0.516,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,Coby White
66,65,30.8,5.5,12.6,0.436,1.9,5.5,0.343,3.6,7.1,0.509,0.511,2.6,3.9,0.664,1.2,3.6,4.8,1.7,0.7,0.5,1.6,2.3,15.5,Kris Wilkes
104,101,28.9,5.3,10.2,0.516,0.3,1,0.291,5,9.2,0.54,0.53,4.8,6.4,0.758,2.5,4,6.5,2.1,0.9,1.5,2.1,3.2,15.7,Grant Williams
33,33,30,9,13.2,0.68,0.7,2.2,0.338,8.2,11,0.747,0.708,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,Zion Williamson
128,97,29.4,4.6,8.6,0.541,1.7,4.2,0.406,2.9,4.4,0.669,0.64,2.2,2.9,0.761,1.6,6.2,7.8,2,1,0.8,1.6,2.4,13.2,Dylan Windler